id,text,surrogate_score,h1_score,h2_score,surrogate_label,h1_label,h2_label,disagrees
82543,"""said selecting a candidate who looks like Ms. Nuamah shows 'the board is clearly listening to the communities who are raising the most demands and the most concerns.'""

I think this says it all. Black Pride [is the only thing that] matters",0.50291437,0.50448596,0.50448596,1,1,1,False
146602,"Black on black deaths only matter in FBI statistics. They haven't for decades in Portland, Chicago, Baltimore  etc etc etc.",0.4981861,0.5019016,0.50112724,0,1,1,True
53482,"Awww, I thought we were having a conversation about race, I didn't know saying black was now taboo.  It gets a little warm and you get uncomfortable?  Grow up and have the conversation instead of hiding behind racism to mask your hypocrisy.  You made a statement about the anthem, expect a reply or don't post.",0.49873543,0.49899387,0.50022924,0,0,1,True
158920,"Michael, I hope people get the point you are making in this comment.  Most of these statues were dedicated under Jim Crow laws and were precisely 'a victory lap for the resubjegation of black citizens'. They were not immediate post Civil War statements of gratitude to the Southern leaders who lost the Civil War.",0.4999386,0.5039901,0.5030307,0,1,1,True
145528,"Actually, they are adolescent seals, not the fuzzy white baby ones which have not been harvested for years.  And they are nowhere even remotely at risk of extinction.  How is the Panda habitat doing in China?  They are even more at risk of extinction than the pachyderms.",0.51688504,0.5236031,0.5205268,1,1,1,False
154436,"MSM outlets reporting that Roger Goodell is now imploring NFL owners to ""move past"" protests against the National Anthem and continued displays of the ""Black Power"" salute. Sorry but once the players forced opens Pandora's Box there's simply no turning back. How does the NFL undo its hypocrisy and double-standards? Give players a ""free speech zone"" in every stadium?!?! That only applies to ""higher"" education. Give ""trigger warnings"" and airline barf bags to the paying customers? Simply stop playing the National Anthem before games and admit the NFL players openly revile the U.S.? Tax incentives for massive stadiums that provide paltry tax revenues and lay idle 90% of the time? Implode Mile High, convert it to a mixed use residential development, and the tax revenues far exceed the Broncos chump change.",0.49603662,0.49792865,0.4979801,0,0,0,False
40899,I think it stems from conflicting motivations: white people want answers and natives want to lay blame. The old white lady understood her duty was  create a system by which truth could be found.  Natives want nothing to do with it if  the truth is squeezed out of them.,0.48547006,0.48585886,0.48684996,0,0,0,False
73352,"Anyone who uses the acronym SJW can't be taken seriously. Honestly, it's like using the N-word. And Doyle concluded his review with the lines: ""And it is also a stark truism that Dear White People the movie made some people very angry. When it was announced a few months back that this series was coming to Netflix, there was a vicious online backlash against it. The sort of online outrage that actually makes the series more important than ever and even more hilarious."" And I read all the bone-headed comments about confusing ""cultural expropriation"" with referencing or food styles or homages and think there's a desperate need to explain to White People what they so clearly don't get and don't want to get. Why? Because it interferes with Trump's agenda to MAGA. LMWAO.",0.5386799,0.5402569,0.54043883,1,1,1,False
9255,"They'd be smarter to focus their demonstration on ""Lets turn out the vote and elect Democrats to the House and Senate 2 years from now, and then turn out for the next presidential vote""
.
When you read that the demonstrations are about LGBT, Black lives matter, obscure splinter-offshoots of feminism, day care, anti-pipeline, native Americans, and every bandwagon-jumping group there is....it dilutes the protest.  A protest about every issue is a protest about no issue.",0.5051916,0.5064007,0.5059964,1,1,1,False
174819,Trump and the republicans love to hate and make lives miserable for those that arent rich and white.,0.5039024,0.5063016,0.5046958,1,1,1,False
