Iteration,delta_h1,delta_h2,delta_random,delta_stratified,delta_auc_surr, time[min]

T Size = 200, Epochs = 1, Batch Size = 100, Lambda = 0.5, epsilon = 0.0001
1,0.0121,0.0120,0.2650,-0.2852,0.1146,8.855976
2,0.0027,0.0027,0.1847,-0.0120,0.1312,11.732827
3,0.0018,0.0016,0.1546,0.1413,0.1277,2.384960
4,0.0111,0.0113,0.1326,0.1076,0.1194,3.093889
5,0.0052,0.0053,0.2288,0.1441,0.0993,3.815365

T Size = 200, Epochs = 2, Batch Size = 100, Lambda = 0.5, epsilon = 0.0001
1,-0.0208,-0.0208,0.0880,0.1496,0.1902,32.084252
2,-0.0208,-0.0207,0.1011,0.1343,0.1997,9.324124
3,-0.0370,-0.0371,0.2002,-0.0080,0.1979,6.170642
4,-0.0610,-0.0610,0.1131,0.0210,0.1911,11.863816
5,-0.0503,-0.0504,0.1605,-0.0245,0.1773,4.950685

T Size = 200, Epochs = 3, Batch Size = 100, Lambda = 0.5, epsilon = 0.0001
1,0.0257,0.0258,0.1123,0.0878,0.0885,19.661608
2,0.0235,0.0236,0.0740,-0.0929,0.0404,9.995784
3,0.0187,0.0189,0.1100,0.1810,0.1056,30.441419
4,0.0067,0.0067,0.1597,0.0447,0.1408,6.920719
5,-0.0078,-0.0079,0.0769,0.0068,0.1062,32.018125

T Size = 200, Epochs = 4, Batch Size = 100, Lambda = 0.5, epsilon = 0.0001
1,-0.0500,-0.0500,0.0801,0.0379,0.3025,29.097322
2,-0.0521,-0.0523,0.0704,0.1120,0.2595,17.443483
3,-0.0392,-0.0391,0.1742,-0.0655,0.2432,7.470601
4,-0.0385,-0.0384,0.0418,0.1714,0.2272,7.473695
5,-0.0333,-0.0332,0.1410,-0.0479,0.2198,15.113341

T Size = 200, Epochs = 1, Batch Size = 100, Lambda = 0.5, epsilon = 0.0001

T Size = 200, Epochs = 1, Batch Size = 100, Lambda = 0.5, epsilon = 0.0001

T Size = 200, Epochs = 1, Batch Size = 100, Lambda = 0.5, epsilon = 0.0001

T Size = 200, Epochs = 1, Batch Size = 100, Lambda = 0.5, epsilon = 0.0001
