Iteration,delta_h1,delta_h2,delta_random,delta_stratified,delta_auc_surr, time[min]

T Size = 200, Epochs = 2, Batch Size = 100, Lambda = 0.5, epsilon = 1e-05
1,0.0078,0.0078,0.2730,0.0450,0.2322,54.198034
2,-0.0091,-0.0091,0.2476,-0.0515,0.2213,12.139013
3,0.0047,0.0047,0.3881,-0.3135,0.1979,90.255209
4,,,,,,
5,,,,,,

T Size = 200, Epochs = 2, Batch Size = 100, Lambda = 0.5, epsilon = 0.0001
1,0.0022,0.0020,0.0502,0.4154,0.2120,3.301196
2,0.0044,0.0043,0.1031,0.0303,0.2402,2.905343
3,0.0097,0.0097,-0.0591,0.4061,0.2127,2.774396
4,0.0145,0.0146,0.0150,0.3428,0.2021,4.403265
5,0.0186,0.0185,0.1988,0.2466,0.1938,3.119976

T Size = 200, Epochs = 2, Batch Size = 100, Lambda = 0.5, epsilon = 0.001
1,0.0053,0.0052,0.2127,0.1808,0.2364,5.098605
2,-0.0113,-0.0105,0.2518,-0.1018,0.2314,3.234884
3,-0.0022,-0.0031,0.0418,0.0611,0.1624,2.151618
4,,,,,,
5,,,,,,

T Size = 200, Epochs = 2, Batch Size = 100, Lambda = 0.5, epsilon = 0.01
1,-0.0179,-0.0122,0.1724,0.2748,0.1359,1.833339
2,-0.0101,-0.0092,0.1196,0.0265,0.1551,1.835561
3,-0.0052,-0.0060,0.2749,0.5413,0.1551,1.829039
4,-0.0016,-0.0020,0.1201,-0.0212,0.1355,1.835476
5,0.0027,0.0025,0.2749,-0.0235,0.1259,1.847227
