Iteration,delta_h1,delta_h2,delta_random,delta_stratified,delta_auc_surr, time[min]

T Size = 200, Epochs = 2, Batch Size = 100, Lambda = 0.5, epsilon = 0.0001
1,-0.0224,-0.0225,0.1127,-0.2382,0.0357,11.518718
2,-0.0182,-0.0183,0.2147,0.3505,0.0817,2.052905
3,-0.0107,-0.0106,0.0931,-0.0343,0.1129,3.304263
4,-0.0062,-0.0063,0.1803,0.1325,0.1072,3.232662
5,-0.0062,-0.0063,0.0881,0.0705,0.0963,5.859655

T Size = 200, Epochs = 2, Batch Size = 100, Lambda = 1.0, epsilon = 0.0001
1,0.0322,0.0322,0.0267,0.1816,0.1855,11.929135
2,0.0368,0.0370,0.1907,-0.0794,0.2861,13.706836
3,0.0225,0.0224,0.0452,0.1354,0.1873,11.305907
4,0.0031,0.0032,0.0116,0.1902,0.2243,10.677861
5,0.0080,0.0081,0.0423,-0.0616,0.2407,13.054736

T Size = 200, Epochs = 2, Batch Size = 100, Lambda = 0.1, epsilon = 0.0001
1,0.0477,0.0478,0.0600,0.1826,0.0889,6.221917
2,0.0528,0.0530,0.1904,0.0430,0.0181,11.639511
3,0.0497,0.0499,0.1269,0.0225,0.0079,18.504051
4,0.0421,0.0419,0.0315,0.0309,0.0207,5.087816
5,0.0367,0.0368,0.0456,-0.1231,0.0171,5.234965
