Iteration,delta_random,delta_stratified,delta_auc

T Size = 300, Epochs = 1, Batch Size = 100, Lambda = 0.1, epsilon = 0.001
1,0.1095,0.0714,0.1696
1,0.1082,0.0714,0.1750
1,0.1093,0.0714,0.1637
1,0.1080,0.0714,0.1568
1,0.1120,0.0714,0.1468
1,0.1084,0.0714,0.1623
1,0.1054,0.0714,0.1622
1,0.1088,0.0714,0.1552
1,0.1081,0.0806,0.1473
1,0.1134,0.0806,0.1389
1,0.1136,0.0806,0.1319
1,0.1189,0.0806,0.1253
1,0.1206,0.0823,0.1200
1,0.0914,0.0823,0.1207
1,0.0935,0.0823,0.1137
1,0.0757,0.0823,0.1268
1,0.0770,0.0823,0.1361
1,0.0789,0.0823,0.1321
1,0.0794,0.0698,0.1473
1,0.0819,0.0698,0.1415
1,0.0779,0.0698,0.1355
1,0.0749,0.0698,0.1403
1,0.0753,0.0698,0.1349
1,0.0771,0.0698,0.1150
1,0.0790,0.0698,0.1014
1,0.0802,0.0698,0.0984
1,0.0774,0.0814,0.1023
1,0.0786,0.0814,0.1008
1,0.0797,0.0814,0.1064
1,0.0832,0.0814,0.1034
1,0.0834,0.0814,0.0832
1,0.0830,0.0814,0.0969
1,0.0802,0.0814,0.1064
1,0.0820,0.0814,0.1017
1,0.0827,0.0814,0.1027
1,0.0821,0.0869,0.1079
1,0.0855,0.0869,0.1170
1,0.0833,0.0869,0.1207
1,0.0835,0.0934,0.1269
1,0.0818,0.0934,0.1215
1,0.0797,0.0732,0.1181
1,0.0801,0.0585,0.1156
1,0.0810,0.0736,0.1190
1,0.0820,0.0736,0.1134
1,0.0798,0.0736,0.1236
1,0.0795,0.0624,0.1188
1,0.0797,0.0406,0.1136
1,0.0809,0.0406,0.1051
1,0.0769,0.0396,0.1002
1,0.0786,0.0396,0.0984
1,0.0804,0.0396,0.0966
1,0.0803,0.0339,0.0888
1,0.0805,0.0339,0.0930
1,0.0822,0.0200,0.0776
1,0.0790,0.0200,0.0764
1,0.0765,0.0200,0.0844
1,0.0795,0.0280,0.0919
1,0.0747,0.0280,0.0896
1,0.0744,0.0280,0.0946
1,0.0741,0.0280,0.0858
1,0.0758,0.0134,0.0722
1,0.0739,0.0015,0.0569
1,0.0757,0.0061,0.0554
1,0.0767,0.0143,0.0428
1,0.0775,0.0131,0.0396
1,0.0791,0.0131,0.0386
1,0.0791,0.0131,0.0350
1,0.0793,0.0131,0.0397
1,0.0797,0.0114,0.0362
1,0.0802,0.0114,0.0328
1,0.0807,0.0114,0.0336
1,0.0811,0.0114,0.0322
1,0.0790,0.0193,0.0308
1,0.0807,0.0193,0.0299
1,0.0820,0.0193,0.0361
1,0.0837,0.0193,0.0329
1,0.0836,0.0064,0.0293
1,0.0833,0.0193,0.0364
1,0.0750,0.0240,0.0354
